id,season,first,last,g_lg,1a_lg,2a_lg,pts_lg,g_ucl,1a_ucl,2a_ucl,pts_ucl,g_uel,1a_uel,2a_uel,pts_uel,g_cup,1a_cup,2a_cup,pts_cup,g_scup,1a_scup,2a_scup,pts_scup,g_uelq,1a_uelq,2a_uelq,pts_uelq,g_all,1a_all,2a_all,pts_all
aubameyang,2016-17,Pierre-Emerick,Aubameyang,31,2,3,36,7,2,3,12,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,40,6,6,52
bartra,2016-17,Marc,Bartra,0,4,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5
bender,2016-17,Sven,Bender,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
bruun-larsen,2016-17,Jacob,Bruun Larsen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
burki,2016-17,Roman,Bürki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burnic,2016-17,Dženis,Burnić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castro,2016-17,Gonzalo,Castro,3,7,4,14,1,1,2,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,4,9,7,20
dembele,2016-17,Ousmane,Dembélé,6,14,8,28,2,6,1,9,0,0,0,0,2,2,2,6,0,0,0,0,0,0,0,0,10,22,11,43
durm,2016-17,Erik,Durm,0,2,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
ginter,2016-17,Matthias,Ginter,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
gotze,2016-17,Mario,Götze,1,1,1,3,1,1,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,2,7
guerreiro,2016-17,Raphaël,Guerreiro,6,6,4,16,1,2,0,3,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,7,10,6,23
isak,2016-17,Alexander,Isak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kagawa,2016-17,Shinji,Kagawa,1,6,5,12,3,2,0,5,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,6,8,6,20
merino,2016-17,Mikel,Merino,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
mor,2016-17,Emre,Mor,1,3,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6
papastathopoulos,2016-17,Sokratis,Papastathopoulos,2,0,2,4,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,4,7
park,2016-17,Jo-hoo,Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
passlack,2016-17,Felix,Passlack,0,1,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5
piszczek,2016-17,Łukasz,Piszczek,6,3,7,16,0,1,2,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,6,5,10,21
